@relation COMBINED_R1_ura

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 {Deny,Permit}

@data
62,4,Deny
62,6,Deny
62,7,Deny
62,8,Deny
62,9,Deny
63,1,Deny
63,2,Deny
63,3,Deny
63,4,Deny
63,6,Deny
63,7,Deny
63,8,Deny
63,9,Deny
64,1,Deny
64,2,Deny
64,3,Deny
64,4,Deny
64,6,Deny
64,7,Deny
64,8,Deny
64,9,Deny
65,1,Deny
65,2,Deny
65,3,Deny
65,4,Deny
65,6,Deny
65,7,Deny
65,8,Deny
65,9,Deny
66,1,Deny
66,2,Deny
66,3,Deny
66,4,Deny
66,6,Deny
66,7,Deny
66,8,Deny
66,9,Deny
67,1,Deny
67,2,Deny
67,3,Deny
67,4,Deny
67,6,Deny
67,7,Deny
67,8,Deny
67,9,Deny
68,1,Deny
68,2,Deny
68,3,Deny
68,4,Deny
68,6,Deny
68,7,Deny
68,8,Deny
68,9,Deny
69,1,Deny
69,2,Deny
69,3,Deny
69,4,Deny
69,6,Deny
69,7,Deny
69,8,Deny
69,9,Deny
70,1,Deny
70,2,Deny
70,3,Deny
70,4,Deny
70,6,Deny
70,7,Deny
70,8,Deny
70,9,Deny
71,1,Deny
71,2,Deny
71,3,Deny
71,4,Deny
71,6,Deny
71,7,Deny
71,8,Deny
71,9,Deny
72,1,Deny
72,2,Deny
72,3,Deny
72,4,Deny
72,6,Deny
72,7,Deny
72,8,Deny
72,9,Deny
73,1,Deny
73,2,Deny
73,3,Deny
73,4,Deny
73,6,Deny
73,7,Deny
73,8,Deny
73,9,Deny
74,1,Deny
74,2,Deny
74,3,Deny
74,4,Deny
74,6,Deny
74,7,Deny
74,8,Deny
74,9,Deny
75,1,Deny
75,2,Deny
75,3,Deny
75,4,Deny
75,6,Deny
75,7,Deny
75,8,Deny
75,9,Deny
1,1,Permit
1,2,Permit
1,3,Permit
1,4,Permit
1,5,Permit
1,6,Permit
1,7,Permit
1,8,Permit
1,9,Permit
1,10,Permit
2,1,Permit
2,2,Permit
2,3,Permit
2,4,Permit
2,5,Permit
2,6,Permit
2,7,Permit
2,8,Permit
2,9,Permit
2,10,Permit
3,1,Permit
3,2,Permit
3,3,Permit
3,4,Permit
3,5,Permit
3,6,Permit
3,7,Permit
3,8,Permit
3,9,Permit
3,10,Permit
4,1,Permit
4,2,Permit
4,3,Permit
4,4,Permit
4,5,Permit
4,6,Permit
4,7,Permit
4,8,Permit
4,9,Permit
4,10,Permit
5,1,Permit
5,2,Permit
5,3,Permit
5,4,Permit
5,5,Permit
5,6,Permit
5,7,Permit
5,8,Permit
5,9,Permit
5,10,Permit
6,1,Permit
6,2,Permit
6,3,Permit
6,4,Permit
6,5,Permit
6,6,Permit
6,7,Permit
6,8,Permit
6,9,Permit
6,10,Permit
7,1,Permit
7,2,Permit
7,3,Permit
7,4,Permit
7,5,Permit
7,6,Permit
7,7,Permit
7,8,Permit
7,9,Permit
7,10,Permit
8,1,Permit
8,2,Permit
8,3,Permit
8,4,Permit
8,5,Permit
8,6,Permit
8,7,Permit
8,8,Permit
8,9,Permit
8,10,Permit
9,1,Permit
9,2,Permit
9,3,Permit
9,4,Permit
9,5,Permit
9,6,Permit
9,7,Permit
9,8,Permit
9,9,Permit
9,10,Permit
10,1,Permit
10,2,Permit
10,3,Permit
10,4,Permit
10,5,Permit
10,6,Permit
10,7,Permit
10,8,Permit
10,9,Permit
10,10,Permit
11,1,Permit
11,2,Permit
11,3,Permit
11,4,Permit
11,5,Permit
11,6,Permit
11,7,Permit
11,8,Permit
11,9,Permit
11,10,Permit
12,1,Permit
12,2,Permit
12,3,Permit
12,4,Permit
12,5,Permit
12,6,Permit
12,7,Permit
12,8,Permit
12,9,Permit
12,10,Permit
13,1,Permit
13,2,Permit
13,3,Permit
13,4,Permit
13,5,Permit
13,6,Permit
13,7,Permit
13,8,Permit
13,9,Permit
13,10,Permit
14,1,Permit
14,2,Permit
14,3,Permit
14,4,Permit
14,5,Permit
14,6,Permit
14,7,Permit
14,8,Permit
14,9,Permit
14,10,Permit
15,1,Permit
15,2,Permit
15,3,Permit
15,4,Permit
15,5,Permit
15,6,Permit
15,7,Permit
15,8,Permit
15,9,Permit
15,10,Permit
16,2,Permit
16,4,Permit
16,6,Permit
16,7,Permit
16,8,Permit
16,9,Permit
16,10,Permit
17,2,Permit
17,4,Permit
17,6,Permit
17,7,Permit
17,8,Permit
17,9,Permit
17,10,Permit
18,2,Permit
18,4,Permit
18,6,Permit
18,7,Permit
18,8,Permit
18,9,Permit
18,10,Permit
19,2,Permit
19,4,Permit
19,6,Permit
19,7,Permit
19,8,Permit
19,9,Permit
19,10,Permit
20,2,Permit
20,4,Permit
20,6,Permit
20,7,Permit
20,8,Permit
20,9,Permit
20,10,Permit
21,2,Permit
21,4,Permit
21,6,Permit
21,7,Permit
21,8,Permit
21,9,Permit
21,10,Permit
22,2,Permit
22,4,Permit
22,6,Permit
22,7,Permit
22,8,Permit
22,9,Permit
22,10,Permit
23,2,Permit
23,4,Permit
23,6,Permit
23,7,Permit
23,8,Permit
23,9,Permit
23,10,Permit
24,2,Permit
24,4,Permit
24,6,Permit
24,7,Permit
24,8,Permit
24,9,Permit
24,10,Permit
25,2,Permit
25,4,Permit
25,6,Permit
25,7,Permit
25,8,Permit
25,9,Permit
25,10,Permit
26,2,Permit
26,4,Permit
26,6,Permit
26,7,Permit
26,8,Permit
26,9,Permit
26,10,Permit
27,2,Permit
27,4,Permit
27,6,Permit
27,7,Permit
27,8,Permit
27,9,Permit
27,10,Permit
28,2,Permit
28,4,Permit
28,6,Permit
28,7,Permit
28,8,Permit
28,9,Permit
28,10,Permit
29,2,Permit
29,4,Permit
29,6,Permit
29,7,Permit
29,8,Permit
29,9,Permit
29,10,Permit
30,2,Permit
30,4,Permit
30,6,Permit
30,7,Permit
30,8,Permit
30,9,Permit
30,10,Permit
31,3,Permit
31,5,Permit
31,6,Permit
31,7,Permit
31,8,Permit
31,9,Permit
31,10,Permit
32,3,Permit
32,5,Permit
32,6,Permit
32,7,Permit
32,8,Permit
32,9,Permit
32,10,Permit
33,3,Permit
33,5,Permit
33,6,Permit
33,7,Permit
33,8,Permit
33,9,Permit
33,10,Permit
34,3,Permit
34,5,Permit
34,6,Permit
34,7,Permit
34,8,Permit
34,9,Permit
34,10,Permit
35,3,Permit
35,5,Permit
35,6,Permit
35,7,Permit
35,8,Permit
35,9,Permit
35,10,Permit
36,3,Permit
36,5,Permit
36,6,Permit
36,7,Permit
36,8,Permit
36,9,Permit
36,10,Permit
37,3,Permit
37,5,Permit
37,6,Permit
37,7,Permit
37,8,Permit
37,9,Permit
37,10,Permit
38,3,Permit
38,5,Permit
38,6,Permit
38,7,Permit
38,8,Permit
38,9,Permit
38,10,Permit
39,3,Permit
39,5,Permit
39,6,Permit
39,7,Permit
39,8,Permit
39,9,Permit
39,10,Permit
40,3,Permit
40,5,Permit
40,6,Permit
40,7,Permit
40,8,Permit
40,9,Permit
40,10,Permit
41,3,Permit
41,5,Permit
41,6,Permit
41,7,Permit
41,8,Permit
41,9,Permit
41,10,Permit
42,3,Permit
42,5,Permit
42,6,Permit
42,7,Permit
42,8,Permit
42,9,Permit
42,10,Permit
43,3,Permit
43,5,Permit
43,6,Permit
43,7,Permit
43,8,Permit
43,9,Permit
43,10,Permit
44,3,Permit
44,5,Permit
44,6,Permit
44,7,Permit
44,8,Permit
44,9,Permit
44,10,Permit
45,3,Permit
45,5,Permit
45,6,Permit
45,7,Permit
45,8,Permit
45,9,Permit
45,10,Permit
46,4,Permit
46,8,Permit
46,9,Permit
47,4,Permit
47,8,Permit
47,9,Permit
48,4,Permit
48,8,Permit
48,9,Permit
49,4,Permit
49,8,Permit
49,9,Permit
50,4,Permit
50,8,Permit
50,9,Permit
51,4,Permit
51,8,Permit
51,9,Permit
52,4,Permit
52,8,Permit
52,9,Permit
53,4,Permit
53,8,Permit
53,9,Permit
54,4,Permit
54,8,Permit
54,9,Permit
55,4,Permit
55,8,Permit
55,9,Permit
56,4,Permit
56,8,Permit
56,9,Permit
57,4,Permit
57,8,Permit
57,9,Permit
58,4,Permit
58,9,Permit
59,4,Permit
59,8,Permit
59,9,Permit
60,4,Permit
60,8,Permit
60,9,Permit
61,5,Permit
61,10,Permit
62,5,Permit
62,10,Permit
63,5,Permit
63,10,Permit
64,5,Permit
64,10,Permit
65,5,Permit
65,10,Permit
66,5,Permit
66,10,Permit
67,5,Permit
67,10,Permit
68,5,Permit
68,10,Permit
69,5,Permit
69,10,Permit
70,5,Permit
70,10,Permit
71,5,Permit
71,10,Permit
72,5,Permit
72,10,Permit
73,5,Permit
73,10,Permit
74,5,Permit
74,10,Permit
75,5,Permit
75,10,Permit
