attribute1,attribute2,attribute3,attribute4
1,3,66,Deny
1,3,67,Deny
1,3,68,Deny
1,3,69,Deny
1,3,70,Deny
1,3,71,Deny
1,3,72,Deny
1,3,73,Deny
1,3,74,Deny
1,3,75,Deny
1,3,76,Deny
1,3,77,Deny
1,3,78,Deny
1,3,79,Deny
1,3,80,Deny
1,3,81,Deny
1,3,82,Deny
1,3,83,Deny
1,3,84,Deny
1,3,85,Deny
1,3,86,Deny
1,3,87,Deny
1,3,88,Deny
1,3,89,Deny
1,3,90,Deny
1,3,91,Deny
1,3,92,Deny
1,3,93,Deny
1,3,94,Deny
1,3,95,Deny
1,3,96,Deny
1,3,97,Deny
1,3,98,Deny
1,3,99,Deny
1,3,100,Deny
1,4,1,Deny
1,4,2,Deny
1,4,3,Deny
1,4,4,Deny
1,4,5,Deny
1,4,6,Deny
1,4,7,Deny
1,4,8,Deny
1,4,9,Deny
1,4,10,Deny
1,4,11,Deny
1,4,12,Deny
1,4,13,Deny
1,4,14,Deny
1,4,15,Deny
1,4,16,Deny
1,4,17,Deny
1,4,18,Deny
1,4,19,Deny
1,4,20,Deny
1,4,21,Deny
1,4,22,Deny
1,4,23,Deny
1,4,24,Deny
1,4,25,Deny
1,4,26,Deny
1,4,27,Deny
1,4,28,Deny
1,4,29,Deny
1,4,30,Deny
1,4,41,Deny
1,4,42,Deny
1,4,43,Deny
1,4,44,Deny
1,4,45,Deny
1,4,46,Deny
1,4,47,Deny
1,4,48,Deny
1,4,49,Deny
1,4,50,Deny
1,4,51,Deny
1,4,52,Deny
1,4,53,Deny
1,4,54,Deny
1,4,55,Deny
1,4,56,Deny
1,4,57,Deny
1,4,58,Deny
1,4,59,Deny
1,4,60,Deny
1,4,61,Deny
1,4,62,Deny
1,4,63,Deny
1,4,64,Deny
1,4,65,Deny
1,4,66,Deny
1,4,67,Deny
1,4,68,Deny
1,4,69,Deny
1,4,70,Deny
1,4,71,Deny
1,4,72,Deny
1,4,73,Deny
1,4,74,Deny
1,4,75,Deny
1,4,76,Deny
1,4,77,Deny
1,4,78,Deny
1,4,79,Deny
1,4,80,Deny
1,4,81,Deny
1,4,82,Deny
1,4,83,Deny
1,4,84,Deny
1,4,85,Deny
1,4,86,Deny
1,4,87,Deny
1,4,88,Deny
1,4,89,Deny
1,4,90,Deny
1,4,91,Deny
1,4,92,Deny
1,4,93,Deny
1,4,94,Deny
1,4,95,Deny
1,4,96,Deny
1,4,97,Deny
1,4,98,Deny
1,4,99,Deny
1,4,100,Deny
1,5,1,Deny
1,5,2,Deny
1,5,3,Deny
1,5,4,Deny
1,5,5,Deny
1,5,6,Deny
1,5,7,Deny
1,5,8,Deny
1,5,9,Deny
1,5,10,Deny
1,5,11,Deny
1,5,12,Deny
1,5,13,Deny
1,5,14,Deny
1,5,15,Deny
1,5,16,Deny
1,5,17,Deny
1,5,18,Deny
1,5,19,Deny
1,5,20,Deny
1,5,21,Deny
1,5,22,Deny
1,5,23,Deny
1,5,24,Deny
1,5,25,Deny
1,5,26,Deny
1,5,27,Deny
1,5,28,Deny
1,5,29,Deny
1,5,30,Deny
1,5,31,Deny
1,5,32,Deny
1,5,33,Deny
1,5,34,Deny
1,5,35,Deny
1,5,36,Deny
1,5,37,Deny
1,5,38,Deny
1,5,39,Deny
1,5,40,Deny
1,5,51,Deny
1,5,52,Deny
1,5,53,Deny
1,5,54,Deny
1,5,55,Deny
1,5,56,Deny
1,5,57,Deny
1,5,58,Deny
1,5,59,Deny
1,5,60,Deny
1,5,61,Deny
1,5,62,Deny
1,5,63,Deny
1,5,64,Deny
1,5,65,Deny
1,5,66,Deny
1,5,67,Deny
1,5,68,Deny
1,5,69,Deny
1,5,70,Deny
1,5,71,Deny
1,5,72,Deny
1,5,73,Deny
1,5,74,Deny
1,5,75,Deny
1,5,76,Deny
1,5,77,Deny
1,5,78,Deny
1,5,79,Deny
1,5,80,Deny
1,5,81,Deny
1,5,82,Deny
1,5,83,Deny
1,5,84,Deny
1,5,85,Deny
1,5,86,Deny
1,5,87,Deny
1,5,88,Deny
1,5,89,Deny
1,5,90,Deny
1,5,91,Deny
1,5,92,Deny
1,5,93,Deny
1,5,94,Deny
1,5,95,Deny
1,5,96,Deny
1,5,97,Deny
1,5,98,Deny
1,5,99,Deny
1,5,100,Deny
1,6,1,Deny
1,6,2,Deny
1,6,3,Deny
1,6,4,Deny
1,6,5,Deny
1,6,6,Deny
1,6,7,Deny
1,6,8,Deny
1,6,9,Deny
1,6,10,Deny
1,6,11,Deny
1,6,12,Deny
1,6,13,Deny
1,6,14,Deny
1,6,15,Deny
1,6,16,Deny
1,6,17,Deny
1,6,18,Deny
1,6,19,Deny
1,6,20,Deny
1,6,21,Deny
1,6,22,Deny
1,6,23,Deny
1,6,24,Deny
1,6,25,Deny
1,6,26,Deny
1,6,27,Deny
1,6,28,Deny
1,6,29,Deny
1,6,30,Deny
1,6,31,Deny
1,6,32,Deny
1,6,33,Deny
1,6,34,Deny
1,6,35,Deny
1,6,36,Deny
1,6,37,Deny
1,6,38,Deny
1,6,39,Deny
1,6,40,Deny
1,6,41,Deny
1,6,42,Deny
1,6,43,Deny
1,6,44,Deny
1,6,45,Deny
1,6,46,Deny
1,6,47,Deny
1,6,48,Deny
1,6,49,Deny
1,6,50,Deny
1,6,61,Deny
1,6,62,Deny
1,6,63,Deny
1,6,64,Deny
1,6,65,Deny
1,6,66,Deny
1,6,67,Deny
1,6,68,Deny
1,6,69,Deny
1,6,70,Deny
1,6,71,Deny
1,6,72,Deny
1,6,73,Deny
1,6,74,Deny
1,6,75,Deny
1,6,76,Deny
1,6,77,Deny
1,6,78,Deny
1,6,79,Deny
1,6,80,Deny
1,6,81,Deny
1,6,82,Deny
1,6,83,Deny
1,6,84,Deny
1,6,85,Deny
1,6,86,Deny
1,6,87,Deny
1,6,88,Deny
1,6,89,Deny
1,6,90,Deny
1,6,91,Deny
1,6,92,Deny
1,6,93,Deny
1,6,94,Deny
1,6,95,Deny
1,6,96,Deny
1,6,97,Deny
1,6,98,Deny
1,6,99,Deny
1,6,100,Deny
1,7,1,Deny
1,7,2,Deny
1,7,3,Deny
1,7,4,Deny
1,7,5,Deny
1,7,6,Deny
1,7,7,Deny
1,7,8,Deny
1,7,9,Deny
1,7,10,Deny
1,7,11,Deny
1,7,12,Deny
1,7,13,Deny
1,7,14,Deny
1,7,15,Deny
1,7,16,Deny
1,7,17,Deny
1,7,18,Deny
1,7,19,Deny
1,7,20,Deny
1,7,21,Deny
1,7,22,Deny
1,7,23,Deny
1,7,24,Deny
1,7,25,Deny
1,7,26,Deny
1,7,27,Deny
1,7,28,Deny
1,7,29,Deny
1,7,30,Deny
1,7,31,Deny
1,7,32,Deny
1,7,33,Deny
1,7,34,Deny
1,7,35,Deny
1,7,36,Deny
1,7,37,Deny
1,7,38,Deny
1,7,39,Deny
1,7,40,Deny
1,7,41,Deny
1,7,42,Deny
1,7,43,Deny
1,7,44,Deny
1,7,45,Deny
1,7,46,Deny
1,7,47,Deny
1,7,48,Deny
1,7,49,Deny
1,7,50,Deny
1,7,51,Deny
1,7,52,Deny
1,7,53,Deny
1,7,54,Deny
1,7,55,Deny
1,7,56,Deny
1,7,57,Deny
1,7,58,Deny
1,7,59,Deny
1,7,60,Deny
1,7,71,Deny
1,7,72,Deny
1,7,73,Deny
1,7,74,Deny
1,7,75,Deny
1,7,76,Deny
1,7,77,Deny
1,7,78,Deny
1,7,79,Deny
1,7,80,Deny
1,7,81,Deny
1,7,82,Deny
1,7,83,Deny
1,7,84,Deny
1,7,85,Deny
1,7,86,Deny
1,7,87,Deny
1,7,88,Deny
1,7,89,Deny
1,7,90,Deny
1,7,91,Deny
1,7,92,Deny
1,7,93,Deny
1,7,94,Deny
1,7,95,Deny
1,7,96,Deny
1,7,97,Deny
1,7,98,Deny
1,7,99,Deny
1,7,100,Deny
1,8,1,Deny
1,8,2,Deny
1,8,3,Deny
1,8,4,Deny
1,8,5,Deny
1,8,6,Deny
1,8,7,Deny
1,8,8,Deny
1,8,9,Deny
1,8,10,Deny
1,8,11,Deny
1,8,12,Deny
1,8,13,Deny
1,8,14,Deny
1,8,15,Deny
1,8,16,Deny
1,8,17,Deny
1,8,18,Deny
1,8,19,Deny
1,8,20,Deny
1,8,21,Deny
1,8,22,Deny
1,8,23,Deny
1,8,24,Deny
1,8,25,Deny
1,8,26,Deny
1,8,27,Deny
1,8,28,Deny
1,8,29,Deny
1,8,30,Deny
1,8,31,Deny
1,8,32,Deny
1,8,33,Deny
1,8,34,Deny
1,8,35,Deny
1,8,36,Deny
1,8,37,Deny
1,8,38,Deny
1,8,39,Deny
1,8,40,Deny
1,8,41,Deny
1,8,42,Deny
1,8,43,Deny
1,8,44,Deny
1,8,45,Deny
1,8,46,Deny
1,8,47,Deny
1,8,48,Deny
1,8,49,Deny
1,8,50,Deny
1,8,51,Deny
1,8,52,Deny
1,8,53,Deny
1,8,54,Deny
1,8,55,Deny
1,8,56,Deny
1,8,57,Deny
1,8,58,Deny
1,8,59,Deny
1,8,60,Deny
1,8,61,Deny
1,8,62,Deny
1,8,63,Deny
1,8,64,Deny
1,8,65,Deny
1,8,66,Deny
1,8,67,Deny
1,8,68,Deny
1,8,69,Deny
1,8,70,Deny
1,8,81,Deny
1,8,82,Deny
1,8,83,Deny
1,8,84,Deny
1,8,85,Deny
1,8,86,Deny
1,8,87,Deny
1,8,88,Deny
1,8,89,Deny
1,8,90,Deny
1,8,91,Deny
1,8,92,Deny
1,8,93,Deny
1,8,94,Deny
1,8,95,Deny
1,8,96,Deny
1,8,97,Deny
1,8,98,Deny
1,8,99,Deny
1,8,100,Deny
1,9,1,Deny
1,9,2,Deny
1,9,3,Deny
1,9,4,Deny
1,9,5,Deny
1,9,6,Deny
1,9,7,Deny
1,9,8,Deny
1,9,9,Deny
1,9,10,Deny
1,9,11,Deny
1,9,12,Deny
1,9,13,Deny
1,9,14,Deny
1,9,15,Deny
1,9,16,Deny
1,9,17,Deny
1,9,18,Deny
1,9,19,Deny
1,9,20,Deny
1,9,21,Deny
1,9,22,Deny
1,9,23,Deny
1,9,24,Deny
1,9,25,Deny
1,9,26,Deny
1,9,27,Deny
1,9,28,Deny
1,9,29,Deny
1,9,30,Deny
1,9,31,Deny
1,9,32,Deny
1,9,33,Deny
1,9,34,Deny
1,9,35,Deny
1,9,36,Deny
1,9,37,Deny
1,9,38,Deny
1,9,39,Deny
1,9,40,Deny
1,9,41,Deny
1,9,42,Deny
1,9,43,Deny
1,9,44,Deny
1,9,45,Deny
1,9,46,Deny
1,9,47,Deny
1,9,48,Deny
1,9,49,Deny
1,9,50,Deny
1,9,51,Deny
1,9,52,Deny
1,9,53,Deny
1,9,54,Deny
1,9,55,Deny
1,9,56,Deny
1,9,57,Deny
1,9,58,Deny
1,9,59,Deny
1,9,60,Deny
1,9,61,Deny
1,9,62,Deny
1,9,63,Deny
1,9,64,Deny
1,9,65,Deny
1,9,66,Deny
1,9,67,Deny
1,9,68,Deny
1,9,69,Deny
1,9,70,Deny
1,9,71,Deny
1,9,72,Deny
1,9,73,Deny
1,9,74,Deny
1,9,75,Deny
1,9,76,Deny
1,9,77,Deny
1,9,78,Deny
1,9,79,Deny
1,9,80,Deny
1,9,91,Deny
1,9,92,Deny
1,9,93,Deny
1,9,94,Deny
1,9,95,Deny
1,9,96,Deny
1,9,97,Deny
1,9,98,Deny
1,9,99,Deny
1,9,100,Deny
1,10,1,Deny
1,10,2,Deny
1,10,3,Deny
1,10,4,Deny
1,10,5,Deny
1,10,6,Deny
1,10,7,Deny
1,10,8,Deny
1,10,9,Deny
1,10,10,Deny
1,10,11,Deny
1,10,12,Deny
1,10,13,Deny
1,10,14,Deny
1,10,15,Deny
1,10,16,Deny
1,10,17,Deny
1,10,18,Deny
1,10,19,Deny
1,10,20,Deny
1,10,21,Deny
1,10,22,Deny
1,10,23,Deny
1,10,24,Deny
1,10,25,Deny
1,10,26,Deny
1,10,27,Deny
1,10,28,Deny
1,10,29,Deny
1,10,30,Deny
1,10,31,Deny
1,10,32,Deny
1,10,33,Deny
1,10,34,Deny
1,10,35,Deny
1,10,36,Deny
1,10,37,Deny
1,10,38,Deny
1,10,39,Deny
1,10,40,Deny
1,10,41,Deny
1,10,42,Deny
1,10,43,Deny
1,10,44,Deny
1,10,45,Deny
1,10,46,Deny
1,10,47,Deny
1,10,48,Deny
1,10,49,Deny
1,10,50,Deny
1,10,51,Deny
1,10,52,Deny
1,10,53,Deny
1,10,54,Deny
1,10,55,Deny
1,10,56,Deny
1,10,57,Deny
1,10,58,Deny
1,10,59,Deny
1,10,60,Deny
1,10,61,Deny
1,10,62,Deny
1,10,63,Deny
1,10,64,Deny
1,10,65,Deny
1,10,66,Deny
1,10,67,Deny
1,10,68,Deny
1,10,69,Deny
1,10,70,Deny
1,10,71,Deny
1,10,72,Deny
1,10,73,Deny
1,10,74,Deny
1,10,75,Deny
1,10,76,Deny
1,10,77,Deny
1,10,78,Deny
1,10,79,Deny
1,10,80,Deny
1,10,81,Deny
1,10,82,Deny
1,10,83,Deny
1,10,84,Deny
1,10,85,Deny
1,10,86,Deny
1,10,87,Deny
1,10,88,Deny
1,10,89,Deny
1,10,90,Deny
2,1,11,Deny
2,1,12,Deny
2,1,13,Deny
2,1,14,Deny
2,1,15,Deny
2,1,16,Deny
2,1,17,Deny
2,1,18,Deny
2,1,19,Deny
2,1,20,Deny
2,1,21,Deny
2,1,22,Deny
2,1,23,Deny
2,1,24,Deny
2,1,25,Deny
2,1,26,Deny
2,1,27,Deny
2,1,28,Deny
2,1,29,Deny
2,1,30,Deny
2,1,31,Deny
2,1,32,Deny
2,1,33,Deny
2,1,34,Deny
2,1,35,Deny
2,1,36,Deny
2,1,37,Deny
2,1,38,Deny
2,1,39,Deny
2,1,40,Deny
2,1,41,Deny
2,1,42,Deny
2,1,43,Deny
2,1,44,Deny
2,1,45,Deny
2,1,46,Deny
2,1,47,Deny
2,1,48,Deny
2,1,49,Deny
2,1,50,Deny
2,1,51,Deny
2,1,52,Deny
2,1,53,Deny
2,1,54,Deny
2,1,55,Deny
2,1,56,Deny
2,1,57,Deny
2,1,58,Deny
2,1,59,Deny
2,1,60,Deny
2,1,61,Deny
2,1,62,Deny
2,1,63,Deny
2,1,64,Deny
2,1,65,Deny
2,1,66,Deny
2,1,67,Deny
2,1,68,Deny
2,1,69,Deny
2,1,70,Deny
2,1,71,Deny
2,1,72,Deny
2,1,73,Deny
2,1,74,Deny
2,1,75,Deny
2,1,76,Deny
2,1,77,Deny
2,1,78,Deny
2,1,79,Deny
2,1,80,Deny
2,1,81,Deny
2,1,82,Deny
2,1,83,Deny
2,1,84,Deny
2,1,85,Deny
2,1,86,Deny
2,1,87,Deny
2,1,88,Deny
2,1,89,Deny
2,1,90,Deny
2,1,91,Deny
2,1,92,Deny
2,1,93,Deny
2,1,94,Deny
2,1,95,Deny
2,1,96,Deny
2,1,97,Deny
2,1,98,Deny
2,1,99,Deny
2,1,100,Deny
2,2,1,Deny
2,2,2,Deny
2,2,3,Deny
2,2,4,Deny
2,2,5,Deny
2,2,6,Deny
2,2,7,Deny
2,2,8,Deny
2,2,9,Deny
2,2,10,Deny
2,2,21,Deny
2,2,22,Deny
2,2,23,Deny
2,2,24,Deny
2,2,25,Deny
2,2,26,Deny
2,2,27,Deny
2,2,28,Deny
2,2,29,Deny
2,2,30,Deny
2,2,31,Deny
2,2,32,Deny
2,2,33,Deny
2,2,34,Deny
2,2,35,Deny
2,2,36,Deny
2,2,37,Deny
2,2,38,Deny
2,2,39,Deny
2,2,40,Deny
2,2,41,Deny
2,2,42,Deny
2,2,43,Deny
2,2,44,Deny
2,2,45,Deny
2,2,46,Deny
2,2,47,Deny
2,2,48,Deny
2,2,49,Deny
2,2,50,Deny
2,2,51,Deny
2,2,52,Deny
2,2,53,Deny
2,2,54,Deny
2,2,55,Deny
2,2,56,Deny
2,2,57,Deny
2,2,58,Deny
2,2,59,Deny
2,2,60,Deny
2,2,61,Deny
2,2,62,Deny
2,2,63,Deny
2,2,64,Deny
2,2,65,Deny
2,2,66,Deny
2,2,67,Deny
2,2,68,Deny
2,2,69,Deny
2,2,70,Deny
2,2,71,Deny
2,2,72,Deny
2,2,73,Deny
2,2,74,Deny
2,2,75,Deny
2,2,76,Deny
2,2,77,Deny
2,2,78,Deny
2,2,79,Deny
2,2,80,Deny
2,2,81,Deny
2,2,82,Deny
2,2,83,Deny
2,2,84,Deny
2,2,85,Deny
2,2,86,Deny
2,2,87,Deny
2,2,88,Deny
2,2,89,Deny
2,2,90,Deny
2,2,91,Deny
2,2,92,Deny
2,2,93,Deny
2,2,94,Deny
2,2,95,Deny
2,2,96,Deny
2,2,97,Deny
2,2,98,Deny
2,2,99,Deny
2,2,100,Deny
2,3,1,Deny
2,3,2,Deny
2,3,3,Deny
2,3,4,Deny
2,3,5,Deny
2,3,6,Deny
2,3,7,Deny
2,3,8,Deny
2,3,9,Deny
2,3,10,Deny
2,3,11,Deny
2,3,12,Deny
2,3,13,Deny
2,3,14,Deny
2,3,15,Deny
2,3,16,Deny
2,3,17,Deny
2,3,18,Deny
2,3,19,Deny
2,3,20,Deny
2,3,31,Deny
2,3,32,Deny
2,3,33,Deny
2,3,34,Deny
2,3,35,Deny
2,3,36,Deny
2,3,37,Deny
2,3,38,Deny
2,3,39,Deny
2,3,40,Deny
2,3,41,Deny
2,3,42,Deny
2,3,43,Deny
2,3,44,Deny
2,3,45,Deny
2,3,46,Deny
2,3,47,Deny
2,3,48,Deny
2,3,49,Deny
2,3,50,Deny
2,3,51,Deny
2,3,52,Deny
2,3,53,Deny
2,3,54,Deny
2,3,55,Deny
2,3,56,Deny
2,3,57,Deny
2,3,58,Deny
2,3,59,Deny
2,3,60,Deny
2,3,61,Deny
2,3,62,Deny
2,3,63,Deny
2,3,64,Deny
2,3,65,Deny
2,3,66,Deny
2,3,67,Deny
2,3,68,Deny
2,3,69,Deny
2,3,70,Deny
2,3,71,Deny
2,3,72,Deny
2,3,73,Deny
2,3,74,Deny
2,3,75,Deny
2,3,76,Deny
2,3,77,Deny
2,3,78,Deny
2,3,79,Deny
2,3,80,Deny
2,3,81,Deny
2,3,82,Deny
2,3,83,Deny
2,3,84,Deny
2,3,85,Deny
2,3,86,Deny
2,3,87,Deny
2,3,88,Deny
2,3,89,Deny
2,3,90,Deny
2,3,91,Deny
2,3,92,Deny
2,3,93,Deny
2,3,94,Deny
2,3,95,Deny
2,3,96,Deny
2,3,97,Deny
2,3,98,Deny
2,3,99,Deny
2,3,100,Deny
2,4,1,Deny
2,4,2,Deny
2,4,3,Deny
2,4,4,Deny
2,4,5,Deny
2,4,6,Deny
2,4,7,Deny
2,4,8,Deny
2,4,9,Deny
2,4,10,Deny
2,4,11,Deny
2,4,12,Deny
2,4,13,Deny
2,4,14,Deny
2,4,15,Deny
2,4,16,Deny
2,4,17,Deny
2,4,18,Deny
2,4,19,Deny
2,4,20,Deny
2,4,21,Deny
2,4,22,Deny
2,4,23,Deny
2,4,24,Deny
2,4,25,Deny
2,4,26,Deny
2,4,27,Deny
2,4,28,Deny
2,4,29,Deny
2,4,30,Deny
2,4,41,Deny
2,4,42,Deny
2,4,43,Deny
2,4,44,Deny
2,4,45,Deny
2,4,46,Deny
2,4,47,Deny
2,4,48,Deny
2,4,49,Deny
2,4,50,Deny
2,4,51,Deny
2,4,52,Deny
2,4,53,Deny
2,4,54,Deny
2,4,55,Deny
2,4,56,Deny
2,4,57,Deny
2,4,58,Deny
2,4,59,Deny
2,4,60,Deny
2,4,61,Deny
2,4,62,Deny
2,4,63,Deny
2,4,64,Deny
2,4,65,Deny
2,4,66,Deny
2,4,67,Deny
2,4,68,Deny
2,4,69,Deny
2,4,70,Deny
2,4,71,Deny
2,4,72,Deny
2,4,73,Deny
2,4,74,Deny
2,4,75,Deny
2,4,76,Deny
2,4,77,Deny
2,4,78,Deny
2,4,79,Deny
2,4,80,Deny
2,4,81,Deny
2,4,82,Deny
2,4,83,Deny
2,4,84,Deny
2,4,85,Deny
2,4,86,Deny
2,4,87,Deny
2,4,88,Deny
2,4,89,Deny
2,4,90,Deny
2,4,91,Deny
2,4,92,Deny
2,4,93,Deny
2,4,94,Deny
2,4,95,Deny
2,4,96,Deny
2,4,97,Deny
2,4,98,Deny
2,4,99,Deny
2,4,100,Deny
2,5,1,Deny
2,5,2,Deny
2,5,3,Deny
2,5,4,Deny
2,5,5,Deny
2,5,6,Deny
2,5,7,Deny
2,5,8,Deny
2,5,9,Deny
2,5,10,Deny
2,5,11,Deny
2,5,12,Deny
2,5,13,Deny
2,5,14,Deny
2,5,15,Deny
2,5,16,Deny
2,5,17,Deny
2,5,18,Deny
2,5,19,Deny
2,5,20,Deny
2,5,21,Deny
2,5,22,Deny
2,5,23,Deny
2,5,24,Deny
2,5,25,Deny
2,5,26,Deny
2,5,27,Deny
2,5,28,Deny
2,5,29,Deny
2,5,30,Deny
2,5,31,Deny
2,5,32,Deny
2,5,33,Deny
2,5,34,Deny
2,5,35,Deny
2,5,36,Deny
2,5,37,Deny
2,5,38,Deny
2,5,39,Deny
2,5,40,Deny
2,5,51,Deny
2,5,52,Deny
2,5,53,Deny
2,5,54,Deny
2,5,55,Deny
2,5,56,Deny
2,5,57,Deny
2,5,58,Deny
2,5,59,Deny
2,5,60,Deny
2,5,61,Deny
2,5,62,Deny
2,5,63,Deny
2,5,64,Deny
2,5,65,Deny
2,5,66,Deny
2,5,67,Deny
2,5,68,Deny
2,5,69,Deny
2,5,70,Deny
2,5,71,Deny
2,5,72,Deny
2,5,73,Deny
2,5,74,Deny
2,5,75,Deny
2,5,76,Deny
2,5,77,Deny
2,5,78,Deny
2,5,79,Deny
2,5,80,Deny
2,5,81,Deny
2,5,82,Deny
2,5,83,Deny
2,5,84,Deny
2,5,85,Deny
2,5,86,Deny
2,5,87,Deny
2,5,88,Deny
2,5,89,Deny
2,5,90,Deny
2,5,91,Deny
2,5,92,Deny
2,5,93,Deny
2,5,94,Deny
2,5,95,Deny
2,5,96,Deny
2,5,97,Deny
2,5,98,Deny
2,5,99,Deny
2,5,100,Deny
2,6,1,Deny
2,6,2,Deny
2,6,3,Deny
2,6,4,Deny
2,6,5,Deny
2,6,6,Deny
2,6,7,Deny
2,6,8,Deny
2,6,9,Deny
2,6,10,Deny
2,6,11,Deny
2,6,12,Deny
2,6,13,Deny
2,6,14,Deny
2,6,15,Deny
2,6,16,Deny
2,6,17,Deny
2,6,18,Deny
2,6,19,Deny
2,6,20,Deny
2,6,21,Deny
2,6,22,Deny
2,6,23,Deny
2,6,24,Deny
2,6,25,Deny
2,6,26,Deny
2,6,27,Deny
2,6,28,Deny
2,6,29,Deny
2,6,30,Deny
2,6,31,Deny
2,6,32,Deny
2,6,33,Deny
2,6,34,Deny
2,6,35,Deny
2,6,36,Deny
2,6,37,Deny
2,6,38,Deny
2,6,39,Deny
2,6,40,Deny
2,6,41,Deny
2,6,42,Deny
2,6,43,Deny
2,6,44,Deny
2,6,45,Deny
2,6,46,Deny
