   USER_ID    ROLE_ID
        25          6

   USER_ID    ROLE_ID
---------- ----------
        25          7
        25          8
        25          9
        25         10
        26          2
        26          4
        26          6
        26          7
        26          8
        26          9
        26         10

   USER_ID    ROLE_ID
---------- ----------
        27          2
        27          4
        27          6
        27          7
        27          8
        27          9
        27         10
        28          2
        28          4
        28          6
        28          7

   USER_ID    ROLE_ID
---------- ----------
        28          8
        28          9
        28         10
        29          2
        29          4
        29          6
        29          7
        29          8
        29          9
        29         10
        30          2

   USER_ID    ROLE_ID
---------- ----------
        30          4
        30          6
        30          7
        30          8
        30          9
        30         10
   USER_ID    ROLE_ID
---------- ----------
        31          3
        31          5
        31          6
        31          7
        31          8
        31          9
        31         10
        32          3
        32          5
        32          6
        32          7

   USER_ID    ROLE_ID
---------- ----------
        32          8
        32          9
        32         10
        33          3
        33          5
        33          6
        33          7
        33          8
        33          9
        33         10
        34          3

   USER_ID    ROLE_ID
---------- ----------
        34          5
        34          6
        34          7
        34          8
        34          9
        34         10
        35          3
        35          5
        35          6
        35          7
        35          8

   USER_ID    ROLE_ID
---------- ----------
        35          9
        35         10
        36          3
        36          5
        36          6
        36          7
        36          8
        36          9
        36         10
        37          3
        37          5

   USER_ID    ROLE_ID
---------- ----------
        37          6
        37          7
        37          8
        37          9
        37         10
        38          3
        38          5
        38          6
        38          7
        38          8
        38          9

   USER_ID    ROLE_ID
---------- ----------
        38         10
        39          3
        39          5
        39          6
        39          7
        39          8
        39          9
        39         10
        40          3
        40          5
        40          6

   USER_ID    ROLE_ID
---------- ----------
        40          7
        40          8
        40          9
        40         10
        41          3
        41          5
        41          6
        41          7
        41          8
        41          9
        41         10

   USER_ID    ROLE_ID
---------- ----------
        42          3
        42          5
        42          6
        42          7
        42          8
        42          9
        42         10
        43          3
        43          5
        43          6
        43          7

   USER_ID    ROLE_ID
---------- ----------
        43          8
        43          9
        43         10
        44          3
        44          5
        44          6
        44          7
        44          8
        44          9
        44         10
        45          3

   USER_ID    ROLE_ID
---------- ----------
        45          5
        45          6
        45          7
        45          8
        45          9
        45         10
   USER_ID    ROLE_ID
---------- ----------
        46          4
        46          8
        46          9
        47          4
        47          8
        47          9
        48          4
        48          8
        48          9
        49          4
        49          8

   USER_ID    ROLE_ID
---------- ----------
        49          9
        50          4
        50          8
        50          9
        51          4
        51          8
        51          9
        52          4
        52          8
        52          9
        53          4

   USER_ID    ROLE_ID
---------- ----------
        53          8
        53          9
        54          4
        54          8
        54          9
        55          4
        55          8
        55          9
        56          4
        56          8
        56          9

   USER_ID    ROLE_ID
---------- ----------
        57          4
        57          8
        57          9
        58          4
        58          8s
        58          9
        59          4
        59          8
        59          9
        60          4
        60          8

   USER_ID    ROLE_ID
---------- ----------
        60          9
   USER_ID    ROLE_ID
---------- ----------
        61          5
        61         10
        62          5
        62         10
        63          5
        63         10
        64          5
        64         10
        65          5
        65         10
        66          5

   USER_ID    ROLE_ID
---------- ----------
        66         10
        67          5
        67         10
        68          5
        68         10
        69          5
        69         10
        70          5
        70         10
        71          5
        71         10

   USER_ID    ROLE_ID
---------- ----------
        72          5
        72         10
        73          5
        73         10
        74          5
        74         10
        75          5
        75         10





