   USER_ID    ROLE_ID                           PERMISSION_ID
         5          7                                      61
        14          7                                      61
         1          7                                      61
         4          7                                      61
        11          7                                      61
         6          7                                      61
        13          7                                      61

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7          7                                      61
         8          7                                      61
         8          7                                      62
         6          7                                      62
         9          7                                      62
         3          7                                      62
         4          7                                      62
        11          7                                      62
        12          7                                      62
         7          7                                      62
        13          7                                      62

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        14          7                                      62
        15          7                                      62
        10          7                                      62
         1          7                                      62
         5          7                                      62
         2          7                                      62
         2          7                                      63
        10          7                                      63
         1          7                                      63
         4          7                                      63
        13          7                                      63

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        12          7                                      63
         3          7                                      63
         9          7                                      63
        14          7                                      63
        15          7                                      63
         5          7                                      63
         6          7                                      63
         7          7                                      63
         8          7                                      63
        11          7                                      63
         8          7                                      64

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          7                                      64
        15          7                                      64
         7          7                                      64
        12          7                                      64
        13          7                                      64
        14          7                                      64
         4          7                                      64
         6          7                                      64
         9          7                                      64
         1          7                                      64
         3          7                                      64

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11          7                                      64
         2          7                                      64
        10          7                                      64
        13          7                                      65
         4          7                                      65
         1          7                                      65
         5          7                                      65
        12          7                                      65
         7          7                                      65
         8          7                                      65
        15          7                                      65

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11          7                                      65
        14          7                                      65
         2          7                                      65
         3          7                                      65
         6          7                                      65
         9          7                                      65
        10          7                                      65
         5          7                                      66
         8          7                                      66
        10          7                                      66
        15          7                                      66

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          7                                      66
         4          7                                      66
         7          7                                      66
         9          7                                      66
        12          7                                      66
        14          7                                      66
         1          7                                      66
         6          7                                      66
        11          7                                      66
        13          7                                      66
         2          7                                      66

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8          7                                      67
        15          7                                      67
        10          7                                      67
        14          7                                      67
         6          7                                      67
        11          7                                      67
        13          7                                      67
         4          7                                      67
         7          7                                      67
        12          7                                      67
         2          7                                      67

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          7                                      67
         5          7                                      67
         9          7                                      67
         1          7                                      67
         7          7                                      68
         9          7                                      68
        15          7                                      68
         6          7                                      68
         5          7                                      68
        14          7                                      68
         1          7                                      68

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2          7                                      68
         8          7                                      68
        11          7                                      68
        13          7                                      68
         3          7                                      68
        10          7                                      68
         4          7                                      68
        12          7                                      68
         1          7                                      69
        10          7                                      69
         5          7                                      69

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          7                                      69
         7          7                                      69
        11          7                                      69
         9          7                                      69
        12          7                                      69
         2          7                                      69
         4          7                                      69
        15          7                                      69
        13          7                                      69
        14          7                                      69
         8          7                                      69

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          7                                      69
        11          7                                      70
        10          7                                      70
        14          7                                      70
         6          7                                      70
         8          7                                      70
        15          7                                      70
         2          7                                      70
        13          7                                      70
         7          7                                      70
         1          7                                      70

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          7                                      70
         5          7                                      70
         4          7                                      70
         9          7                                      70
        12          7                                      70
         4          8                                      71
        13          8                                      71
         6          8                                      71
        11          8                                      71
         2          8                                      71
        15          8                                      71

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          8                                      71
         5          8                                      71
         7          8                                      71
         8          8                                      71
        12          8                                      71
         9          8                                      71
        14          8                                      71
        10          8                                      71
         1          8                                      71
         6          8                                      72
         9          8                                      72

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7          8                                      72
         5          8                                      72
        12          8                                      72
        15          8                                      72
         2          8                                      72
        13          8                                      72
        14          8                                      72
        10          8                                      72
         1          8                                      72
        11          8                                      72
         3          8                                      72

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8          8                                      72
         4          8                                      72
         2          8                                      73
        11          8                                      73
         5          8                                      73
         6          8                                      73
         7          8                                      73
        12          8                                      73
         1          8                                      73
         8          8                                      73
        14          8                                      73

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          8                                      73
        13          8                                      73
         3          8                                      73
         4          8                                      73
         9          8                                      73
        15          8                                      73
        12          8                                      74
         8          8                                      74
         4          8                                      74
         3          8                                      74
        15          8                                      74

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          8                                      74
         6          8                                      74
         9          8                                      74
        11          8                                      74
        13          8                                      74
        14          8                                      74
        10          8                                      74
         5          8                                      74
         7          8                                      74
         2          8                                      74
         3          8                                      75

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          8                                      75
         6          8                                      75
         4          8                                      75
         8          8                                      75
         5          8                                      75
        11          8                                      75
        12          8                                      75
        13          8                                      75
        14          8                                      75
         1          8                                      75
         7          8                                      75

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         9          8                                      75
        15          8                                      75
         2          8                                      75
         5          8                                      76
        14          8                                      76
         1          8                                      76
         9          8                                      76
        11          8                                      76
         3          8                                      76
         4          8                                      76
         6          8                                      76

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          8                                      76
         2          8                                      76
        13          8                                      76
        15          8                                      76
         7          8                                      76
        12          8                                      76
         8          8                                      76
         5          8                                      77
        13          8                                      77
         9          8                                      77
         2          8                                      77

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         4          8                                      77
        12          8                                      77
        14          8                                      77
         1          8                                      77
        10          8                                      77
         8          8                                      77
        11          8                                      77
        15          8                                      77
         3          8                                      77
         6          8                                      77
         7          8                                      77

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          8                                      78
         2          8                                      78
         6          8                                      78
         8          8                                      78
         4          8                                      78
        12          8                                      78
         7          8                                      78
        10          8                                      78
        11          8                                      78
         9          8                                      78
        14          8                                      78

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          8                                      78
        13          8                                      78
        15          8                                      78
         3          8                                      78
         3          8                                      79
         7          8                                      79
        13          8                                      79
        14          8                                      79
        10          8                                      79
        15          8                                      79
         1          8                                      79

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          8                                      79
         6          8                                      79
         8          8                                      79
        11          8                                      79
         2          8                                      79
         9          8                                      79
         4          8                                      79
        12          8                                      79
         1          8                                      80
        14          8                                      80
         5          8                                      80

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          8                                      80
        12          8                                      80
         7          8                                      80
         8          8                                      80
        11          8                                      80
        15          8                                      80
         9          8                                      80
         2          8                                      80
         3          8                                      80
         4          8                                      80
        13          8                                      80

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          8                                      80
         8          9                                      81
         7          9                                      81
        11          9                                      81
        12          9                                      81
         3          9                                      81
        13          9                                      81
         1          9                                      81
         9          9                                      81
        14          9                                      81
         2          9                                      81

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          9                                      81
        15          9                                      81
         4          9                                      81
         5          9                                      81
        10          9                                      81
         5          9                                      82
         3          9                                      82
        10          9                                      82
         6          9                                      82
        13          9                                      82
        14          9                                      82

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8          9                                      82
        12          9                                      82
        15          9                                      82
         1          9                                      82
         2          9                                      82
        11          9                                      82
         4          9                                      82
         7          9                                      82
         9          9                                      82
        15          9                                      83
         4          9                                      83

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13          9                                      83
        14          9                                      83
        11          9                                      83
        12          9                                      83
         2          9                                      83
         7          9                                      83
         9          9                                      83
        10          9                                      83
         1          9                                      83
         6          9                                      83
         8          9                                      83

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          9                                      83
         5          9                                      83
         1          9                                      84
        15          9                                      84
         8          9                                      84
        11          9                                      84
        14          9                                      84
        12          9                                      84
         9          9                                      84
        10          9                                      84
         5          9                                      84

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2          9                                      84
         3          9                                      84
         4          9                                      84
         6          9                                      84
        13          9                                      84
         7          9                                      84
         5          9                                      85
        10          9                                      85
        13          9                                      85
         4          9                                      85
        14          9                                      85

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          9                                      85
         3          9                                      85
         6          9                                      85
        12          9                                      85
         2          9                                      85
         8          9                                      85
        11          9                                      85
         9          9                                      85
        15          9                                      85
         7          9                                      85
         5          9                                      86

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11          9                                      86
         3          9                                      86
        12          9                                      86
         7          9                                      86
        15          9                                      86
         2          9                                      86
         6          9                                      86
        13          9                                      86
         8          9                                      86
        10          9                                      86
        14          9                                      86

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         9          9                                      86
         4          9                                      86
         1          9                                      86
         4          9                                      87
         8          9                                      87
         5          9                                      87
        14          9                                      87
        15          9                                      87
         9          9                                      87
        10          9                                      87
        11          9                                      87

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          9                                      87
         6          9                                      87
         3          9                                      87
         7          9                                      87
        13          9                                      87
         2          9                                      87
        12          9                                      87
         4          9                                      88
        11          9                                      88
         6          9                                      88
         9          9                                      88

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        12          9                                      88
        13          9                                      88
         2          9                                      88
         7          9                                      88
         8          9                                      88
        15          9                                      88
         5          9                                      88
         1          9                                      88
         3          9                                      88
        10          9                                      88
        14          9                                      88

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         4          9                                      89
        11          9                                      89
         7          9                                      89
         2          9                                      89
         3          9                                      89
        13          9                                      89
         6          9                                      89
        12          9                                      89
        14          9                                      89
        15          9                                      89
         8          9                                      89

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          9                                      89
         1          9                                      89
         9          9                                      89
         5          9                                      89
        10          9                                      90
         9          9                                      90
         6          9                                      90
        12          9                                      90
         3          9                                      90
        13          9                                      90
        14          9                                      90

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          9                                      90
         2          9                                      90
         8          9                                      90
        15          9                                      90
        11          9                                      90
         5          9                                      90
         7          9                                      90
         4          9                                      90
         5         10                                      91
        12         10                                      91
         1         10                                      91

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3         10                                      91
        15         10                                      91
         6         10                                      91
         4         10                                      91
         2         10                                      91
         9         10                                      91
        13         10                                      91
        14         10                                      91
         7         10                                      91
         8         10                                      91
        11         10                                      91

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10         10                                      91
         5         10                                      92
         9         10                                      92
        13         10                                      92
        14         10                                      92
        15         10                                      92
         2         10                                      92
         4         10                                      92
         7         10                                      92
        11         10                                      92
         3         10                                      92

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8         10                                      92
        10         10                                      92
        12         10                                      92
         1         10                                      92
         6         10                                      92
         3         10                                      93
        12         10                                      93
         9         10                                      93
        13         10                                      93
        15         10                                      93
         2         10                                      93

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         4         10                                      93
         8         10                                      93
        14         10                                      93
         1         10                                      93
        11         10                                      93
         5         10                                      93
         7         10                                      93
        10         10                                      93
         6         10                                      93
         1         10                                      94
        11         10                                      94

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3         10                                      94
        12         10                                      94
        14         10                                      94
         5         10                                      94
         4         10                                      94
         8         10                                      94
        10         10                                      94
         2         10                                      94
        13         10                                      94
        15         10                                      94
         6         10                                      94

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7         10                                      94
         9         10                                      94
         1         10                                      95
        11         10                                      95
         7         10                                      95
        10         10                                      95
        15         10                                      95
         5         10                                      95
         6         10                                      95
         2         10                                      95
         3         10                                      95

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8         10                                      95
         9         10                                      95
        12         10                                      95
        14         10                                      95
        13         10                                      95
         4         10                                      95
        12         10                                      96
         1         10                                      96
         8         10                                      96
        11         10                                      96
        13         10                                      96

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2         10                                      96
         4         10                                      96
         5         10                                      96
         9         10                                      96
        10         10                                      96
         7         10                                      96
        14         10                                      96
        15         10                                      96
         3         10                                      96
         6         10                                      96
        12         10                                      97

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10         10                                      97
         7         10                                      97
         8         10                                      97
        13         10                                      97
         2         10                                      97
         5         10                                      97
         6         10                                      97
         9         10                                      97
        14         10                                      97
         1         10                                      97
        15         10                                      97

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11         10                                      97
         4         10                                      97
         3         10                                      97
         1         10                                      98
         2         10                                      98
        14         10                                      98
         3         10                                      98
         5         10                                      98
         6         10                                      98
        11         10                                      98
        12         10                                      98

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13         10                                      98
         4         10                                      98
        15         10                                      98
         8         10                                      98
         7         10                                      98
         9         10                                      98
        10         10                                      98
        14         10                                      99
        10         10                                      99
         3         10                                      99
         5         10                                      99

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13         10                                      99
         1         10                                      99
         8         10                                      99
        12         10                                      99
         4         10                                      99
        11         10                                      99
        15         10                                      99
         6         10                                      99
         7         10                                      99
         9         10                                      99
         2         10                                      99

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2         10                                     100
        11         10                                     100
        15         10                                     100
         3         10                                     100
         8         10                                     100
        14         10                                     100
         6         10                                     100
         9         10                                     100
        10         10                                     100
        13         10                                     100
         1         10                                     100

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         4         10                                     100
         5         10                                     100
         7         10                                     100
        12         10                                     100

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        27          2                                      11
        22          2                                      11
        23          2                                      11
        16          2                                      11
        17          2                                      11
        30          2                                      11
        18          2                                      11
        20          2                                      11
        26          2                                      11
        29          2                                      11
        19          2                                      11

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        21          2                                      11
        25          2                                      11
        28          2                                      11
        24          2                                      11
        26          2                                      12
        30          2                                      12
        18          2                                      12
        19          2                                      12
